ID,Name,Primary Type,Secondary Type,Image,Additional Images
#001,bulbasaur,Grass,Poison,https://img.pokemondb.net/sprites/bank/normal/bulbasaur.png,"['https://img.pokemondb.net/artwork/bulbasaur.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/silver/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/black-white/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/x-y/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/bulbasaur.png', 'https://img.pokemondb.net/sprites/silver/shiny/bulbasaur.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/bulbasaur.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/bulbasaur.png', 'https://img.pokemondb.net/sprites/black-white/shiny/bulbasaur.png', 'https://img.pokemondb.net/sprites/x-y/shiny/bulbasaur.png']"
#002,ivysaur,Grass,Poison,https://img.pokemondb.net/sprites/bank/normal/ivysaur.png,"['https://img.pokemondb.net/artwork/ivysaur.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/silver/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/black-white/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/x-y/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/ivysaur.png', 'https://img.pokemondb.net/sprites/silver/shiny/ivysaur.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/ivysaur.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/ivysaur.png', 'https://img.pokemondb.net/sprites/black-white/shiny/ivysaur.png', 'https://img.pokemondb.net/sprites/x-y/shiny/ivysaur.png']"
#003,venusaur,Grass,Poison,https://img.pokemondb.net/sprites/bank/normal/venusaur.png,"['https://img.pokemondb.net/artwork/venusaur.jpg', 'https://img.pokemondb.net/artwork/venusaur-mega.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/venusaur.png', 'https://img.pokemondb.net/sprites/silver/normal/venusaur.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/venusaur.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/venusaur-f.png', 'https://img.pokemondb.net/sprites/black-white/normal/venusaur-f.png', 'https://img.pokemondb.net/sprites/x-y/normal/venusaur-f.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/venusaur.png', 'https://img.pokemondb.net/sprites/silver/shiny/venusaur.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/venusaur.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/venusaur-f.png', 'https://img.pokemondb.net/sprites/black-white/shiny/venusaur-f.png', 'https://img.pokemondb.net/sprites/x-y/shiny/venusaur-f.png']"
#004,charmander,Fire,,https://img.pokemondb.net/sprites/bank/normal/charmander.png,"['https://img.pokemondb.net/artwork/charmander.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/charmander.png', 'https://img.pokemondb.net/sprites/silver/normal/charmander.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/charmander.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/charmander.png', 'https://img.pokemondb.net/sprites/black-white/normal/charmander.png', 'https://img.pokemondb.net/sprites/x-y/normal/charmander.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/charmander.png', 'https://img.pokemondb.net/sprites/silver/shiny/charmander.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/charmander.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/charmander.png', 'https://img.pokemondb.net/sprites/black-white/shiny/charmander.png', 'https://img.pokemondb.net/sprites/x-y/shiny/charmander.png']"
#005,charmeleon,Fire,,https://img.pokemondb.net/sprites/bank/normal/charmeleon.png,"['https://img.pokemondb.net/artwork/charmeleon.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/silver/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/black-white/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/x-y/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/charmeleon.png', 'https://img.pokemondb.net/sprites/silver/shiny/charmeleon.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/charmeleon.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/charmeleon.png', 'https://img.pokemondb.net/sprites/black-white/shiny/charmeleon.png', 'https://img.pokemondb.net/sprites/x-y/shiny/charmeleon.png']"
#006,charizard,Fire,Flying,https://img.pokemondb.net/sprites/bank/normal/charizard.png,"['https://img.pokemondb.net/artwork/charizard.jpg', 'https://img.pokemondb.net/artwork/charizard-mega-x.jpg', 'https://img.pokemondb.net/artwork/charizard-mega-y.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/charizard.png', 'https://img.pokemondb.net/sprites/silver/normal/charizard.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/charizard.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/charizard.png', 'https://img.pokemondb.net/sprites/black-white/normal/charizard.png', 'https://img.pokemondb.net/sprites/x-y/normal/charizard.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/charizard.png', 'https://img.pokemondb.net/sprites/silver/shiny/charizard.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/charizard.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/charizard.png', 'https://img.pokemondb.net/sprites/black-white/shiny/charizard.png', 'https://img.pokemondb.net/sprites/x-y/shiny/charizard.png']"
#007,squirtle,Water,,https://img.pokemondb.net/sprites/bank/normal/squirtle.png,"['https://img.pokemondb.net/artwork/squirtle.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/squirtle.png', 'https://img.pokemondb.net/sprites/silver/normal/squirtle.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/squirtle.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/squirtle.png', 'https://img.pokemondb.net/sprites/black-white/normal/squirtle.png', 'https://img.pokemondb.net/sprites/x-y/normal/squirtle.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/squirtle.png', 'https://img.pokemondb.net/sprites/silver/shiny/squirtle.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/squirtle.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/squirtle.png', 'https://img.pokemondb.net/sprites/black-white/shiny/squirtle.png', 'https://img.pokemondb.net/sprites/x-y/shiny/squirtle.png']"
#008,wartortle,Water,,https://img.pokemondb.net/sprites/bank/normal/wartortle.png,"['https://img.pokemondb.net/artwork/wartortle.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/wartortle.png', 'https://img.pokemondb.net/sprites/silver/normal/wartortle.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/wartortle.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/wartortle.png', 'https://img.pokemondb.net/sprites/black-white/normal/wartortle.png', 'https://img.pokemondb.net/sprites/x-y/normal/wartortle.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/wartortle.png', 'https://img.pokemondb.net/sprites/silver/shiny/wartortle.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/wartortle.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/wartortle.png', 'https://img.pokemondb.net/sprites/black-white/shiny/wartortle.png', 'https://img.pokemondb.net/sprites/x-y/shiny/wartortle.png']"
#009,blastoise,Water,,https://img.pokemondb.net/sprites/bank/normal/blastoise.png,"['https://img.pokemondb.net/artwork/blastoise.jpg', 'https://img.pokemondb.net/artwork/blastoise-mega.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/blastoise.png', 'https://img.pokemondb.net/sprites/silver/normal/blastoise.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/blastoise.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/blastoise.png', 'https://img.pokemondb.net/sprites/black-white/normal/blastoise.png', 'https://img.pokemondb.net/sprites/x-y/normal/blastoise.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/blastoise.png', 'https://img.pokemondb.net/sprites/silver/shiny/blastoise.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/blastoise.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/blastoise.png', 'https://img.pokemondb.net/sprites/black-white/shiny/blastoise.png', 'https://img.pokemondb.net/sprites/x-y/shiny/blastoise.png']"
#010,caterpie,Bug,,https://img.pokemondb.net/sprites/bank/normal/caterpie.png,"['https://img.pokemondb.net/artwork/caterpie.jpg', 'https://img.pokemondb.net/sprites/red-blue/normal/caterpie.png', 'https://img.pokemondb.net/sprites/silver/normal/caterpie.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/normal/caterpie.png', 'https://img.pokemondb.net/sprites/diamond-pearl/normal/caterpie.png', 'https://img.pokemondb.net/sprites/black-white/normal/caterpie.png', 'https://img.pokemondb.net/sprites/x-y/normal/caterpie.png', 'https://img.pokemondb.net/sprites/sun-moon/normal/caterpie.png', 'https://img.pokemondb.net/sprites/sword-shield/normal/caterpie.png', 'https://img.pokemondb.net/sprites/silver/shiny/caterpie.png', 'https://img.pokemondb.net/sprites/ruby-sapphire/shiny/caterpie.png', 'https://img.pokemondb.net/sprites/diamond-pearl/shiny/caterpie.png', 'https://img.pokemondb.net/sprites/black-white/shiny/caterpie.png', 'https://img.pokemondb.net/sprites/x-y/shiny/caterpie.png', 'https://img.pokemondb.net/sprites/sun-moon/shiny/caterpie.png']"
